filename,original_url,status
ausdem-homepage-001.png,[url-1],ok
ausdem-homepage-002.png,[url-2],ok
ausdem-homepage-003-leonie-green-national-president-of-the-a.webp,[url-3],ok
ausdem-homepage-004.webp,[url-4],ok
ausdem-homepage-005.webp,[url-5],ok
ausdem-homepage-006.webp,[url-6],ok
ausdem-homepage-007.webp,[url-7],ok
ausdem-homepage-008.webp,[url-8],ok
ausdem-homepage-009.webp,[url-9],ok
ausdem-homepage-010.webp,[url-10],ok
ausdem-homepage-011.webp,[url-11],ok
ausdem-homepage-012.webp,[url-12],ok
ausdem-homepage-013.webp,[url-13],ok
ausdem-homepage-014.jpg,[url-14],ok
ausdem-homepage-015.webp,[url-15],ok
ausdem-homepage-016.webp,[url-16],ok
ausdem-homepage-017.webp,[url-17],ok
ausdem-homepage-018-australian-democrats.png,[url-18],ok
ausdem-homepage-019.webp,[url-19],ok
ausdem-homepage-020-og-image.png,[url-20],ok
